"RelPath","Length"
"_TO_DELETE_MANUALLY\nexus\proof\todo-exceptions-doc-20260119-174922\raw_markers_all.txt","546785"
"_TO_DELETE_MANUALLY\nexus\proof\todo-exceptions-doc-20260119-174922\raw_markers_unexpected.txt","536503"
"_TO_DELETE_MANUALLY\nexus\user_imputs\test.txt","512758"
"nexus\proof\phase19X_mega_scan\export_symbols_heuristic.csv","445410"
"_TO_DELETE_MANUALLY\omega-ui\src-tauri\gen\schemas\desktop-schema.json","413501"
"_TO_DELETE_MANUALLY\omega-ui\src-tauri\gen\schemas\windows-schema.json","413501"
"_TO_DELETE_MANUALLY\nexus\proof\emotion_engine_scan_20260123-024331\top_files_snippets.txt","394220"
"nexus\proof\phase19X_mega_scan\files_inventory.csv","377019"
"_TO_DELETE_MANUALLY\evidence\SPRINT_14_3\hashes.sha256","364750"
"_TO_DELETE_MANUALLY\evidence\SPRINT_14_2\hashes.sha256","360858"
"_TO_DELETE_MANUALLY\evidence\SPRINT_14_1\hashes.sha256","356966"
"_TO_DELETE_MANUALLY\evidence\SPRINT_13A_4\hashes.sha256","356410"
"_TO_DELETE_MANUALLY\evidence\SPRINT_13A_3\hashes.sha256","355298"
"_TO_DELETE_MANUALLY\evidence\SPRINT_13A_2\hashes.sha256","354742"
"nexus\proof\phase19X_mega_scan\HASH_MANIFEST_SHA256.txt","226830"
"_TO_DELETE_MANUALLY\nexus\proof\todo-cleanup-20260119-170500\BEFORE_SCAN.txt","194386"
"_TO_DELETE_MANUALLY\OMEGA_AUDIT_LISIBLE_COMPLET.md","180004"
"_TO_DELETE_MANUALLY\omega-ui\src-tauri\Cargo.lock","147834"
"_TO_DELETE_MANUALLY\evidence\phase41_0\tests.log","144975"
"_TO_DELETE_MANUALLY\evidence\phase40_0\tests.log","144973"
"_TO_DELETE_MANUALLY\evidence\phase36_0\tests.log","144972"
"_TO_DELETE_MANUALLY\evidence\phase35_0\tests.log","144971"
"_TO_DELETE_MANUALLY\evidence\phase38_0\tests.log","144971"
"_TO_DELETE_MANUALLY\evidence\phase33_0\tests.log","144971"
"_TO_DELETE_MANUALLY\evidence\phase37_0\tests.log","144970"
"_TO_DELETE_MANUALLY\evidence\phase42_0\tests.log","144970"
"_TO_DELETE_MANUALLY\evidence\phase34_0\tests.log","144970"
"_TO_DELETE_MANUALLY\evidence\phase39_0\tests.log","144970"
"_TO_DELETE_MANUALLY\evidence\phase42_0\tests_sentinel.log","139758"
"_TO_DELETE_MANUALLY\evidence\phase38_0\tests_sentinel.log","139758"
"_TO_DELETE_MANUALLY\evidence\phase34_0\tests_sentinel.log","139758"
"_TO_DELETE_MANUALLY\evidence\phase35_0\tests_sentinel.log","139758"
"_TO_DELETE_MANUALLY\evidence\phase36_0\tests_sentinel.log","139758"
"_TO_DELETE_MANUALLY\evidence\phase39_0\tests_sentinel.log","139758"
"_TO_DELETE_MANUALLY\evidence\phase37_0\tests_sentinel.log","139758"
"_TO_DELETE_MANUALLY\evidence\phase40_0\tests_sentinel.log","139758"
"_TO_DELETE_MANUALLY\evidence\phase41_0\tests_sentinel.log","139758"
"_TO_DELETE_MANUALLY\evidence\phase33_0\tests_sentinel.log","139758"
"_TO_DELETE_MANUALLY\omega-ui\src-tauri\gen\schemas\acl-manifests.json","139307"
"_TO_DELETE_MANUALLY\nexus\proof\audit_supreme\inventory\raw_imports.txt","136453"
"_TO_DELETE_MANUALLY\sprint28_5\OMEGA_SENTINEL_SUPREME\package-lock.json","132868"
"_TO_DELETE_MANUALLY\OMEGA_SENTINEL_SUPREME\package-lock.json","132868"
"_TO_DELETE_MANUALLY\nexus-search-poc\package-lock.json","129109"
"_TO_DELETE_MANUALLY\NEXUS_REPORT_20260112-204846.txt","120664"
"nexus\proof\phase19_1_gap_closure\git_status.txt","113532"
"nexus\proof\phase19X_mega_scan\git_status.txt","113529"
"_TO_DELETE_MANUALLY\OMEGA_MASTER_DOSSIER_v3.83.0\11_GOLD_MASTERS\GENESIS_FORGE_v1.0.0_GOLD_MASTER.zip","112249"
"_TO_DELETE_MANUALLY\nexus\proof\audit\OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md","106569"
"_TO_DELETE_MANUALLY\OMEGA_SITUATION_COMPLETE_FINALE_v2_0.md","106490"
"_TO_DELETE_MANUALLY\omega-ui\package-lock.json","101073"
"_TO_DELETE_MANUALLY\apps\omega-ui\package-lock.json","96590"
"_TO_DELETE_MANUALLY\OMEGA_MASTER_DOSSIER_v3.83.0\11_GOLD_MASTERS\GENESIS_FORGE_v1.2.0_OMEGA.zip","92303"
"_TO_DELETE_MANUALLY\EXPORT_FULL_PACK_30_60.zip","91900"
"_TO_DELETE_MANUALLY\nexus\proof\audit_supreme\inventory\raw_exports.txt","85137"
"_TO_DELETE_MANUALLY\omega-v44-phase7\archives\proof_pack_phase7_v1.2_certified.zip","81769"
"_TO_DELETE_MANUALLY\omega-v44-phase7\proof_pack_phase7_v1.2.zip","81769"
