source,scene,model,words,composite,ecc,rci,sii,ifi,aai,min_axis,min_axis_name,partial
MINI_V5R6,revelation,qwen3:32b,529,87.01200436837487,84.39588326188131,79.42099562448966,0,0,0,79.42099562448966,rci,true
MINI_V5R6,confrontation,qwen3:32b,2449,87.43933205162631,87.21066061767361,78.39433435530476,0,0,0,78.39433435530476,rci,true
MINI_V5R6,contemplation,qwen3:32b,1438,90.34867188469009,92.72782491898226,84.21117247595112,0,0,0,84.21117247595112,rci,true
MINI_V5R6,menace,qwen3:32b,800,88.45885304245459,93.12880139484791,84.93072695385158,0,0,0,84.93072695385158,rci,true
MINI_V5R6,revelation,qwen3:32b,798,88.09698742511036,89.73051334084951,86.84201372592331,0,0,0,86.84201372592331,rci,true
MINI_V5R6,confrontation,qwen3:32b,419,90.39536012964905,90.97037063485571,86.64160721673666,0,0,0,86.64160721673666,rci,true
MINI_V5R6,contemplation,qwen3:32b,482,88.13988698970773,90.04788618508799,82.90574915514229,0,0,0,82.90574915514229,rci,true
MINI_V5R6,menace,qwen3:32b,445,89.45939224325488,93.01611582756546,84.01256363477113,0,0,0,84.01256363477113,rci,true
MINI_V5R6,revelation,qwen3:32b,389,83.34140329518678,90.90883124830495,84.67715178914382,0,0,0,84.67715178914382,rci,true
MINI_V5R6,confrontation,qwen3:32b,456,84.13692853531222,85.10196673240111,85.55644295937378,0,0,0,85.10196673240111,ecc,true
MINI_V5R6,contemplation,qwen3:32b,514,86.97190477493125,91.7216480621443,85.71276543084316,0,0,0,85.71276543084316,rci,true
MINI_V5R6,menace,qwen3:32b,556,87.47419626569634,84.98733457236337,82.83143225126882,0,0,0,82.83143225126882,rci,true
MINI_V5R6,revelation,qwen3:32b,508,88.76569259649071,87.22589250223349,85.65850226911988,0,0,0,85.65850226911988,rci,true
MINI_V5R6,confrontation,qwen3:32b,2247,85.77449225445467,82.5034823710787,85.80367944846205,0,0,0,82.5034823710787,ecc,true
