fichier,titre,auteur,langue,genre,groupe,inclus,raison_exclusion,dossier
_OceanofPDF.com_Lord_Jim_n_Nostromo_-_Joseph_Conrad.epub,Lord Jim n Nostromo,Joseph Conrad,EN,literary,EN-B,OUI,,nouverau livre EN
A_Balcony_in_the_Forest_-_Julien_Gracq.pdf,A Balcony in the Forest,Julien Gracq,EN,literary,EN-B,OUI,,racine
The_Opposing_Shore_-_Julien_Gracq.pdf,The Opposing Shore,Julien Gracq,EN,literary,EN-B,OUI,,racine
Four_Novels_-_Marguerite_Duras.pdf,Four Novels,Marguerite Duras,EN,literary,EN-B,OUI,,racine
Memoirs_of_Hadrian_-_Marguerite_Yourcenar.epub,Memoirs of Hadrian,Marguerite Yourcenar,EN,literary,EN-B,OUI,,racine
_OceanofPDF.com_Housekeeping_-_Marilynne_Robinson.epub,Housekeeping,Marilynne Robinson,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_Lila_-_Marilynne_Robinson.epub,Lila,Marilynne Robinson,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_Titus_Groan_-_Mervyn_Peake.epub,Titus Groan,Mervyn Peake,EN,literary,EN-B,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_The_House_of_the_Seven_Gables_-_Nathaniel_Hawthorne.epub,The House of the Seven Gables,Nathaniel Hawthorne,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_The_Scarlet_Letter_and_Other_Writings_-_Nathaniel_Hawthorne.epub,The Scarlet Letter and Other Writings,Nathaniel Hawthorne,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_Portnoys_Complaint_-_Philip_Roth.epub,Portnoys Complaint,Philip Roth,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_The_Human_Stain_-_Philip_Roth.epub,The Human Stain,Philip Roth,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_The_invisible_man_-_Ralph_Ellison.epub,The invisible man,Ralph Ellison,EN,literary,EN-B,OUI,,nouverau livre EN
2666_-_Roberto_Bolano.pdf,2666,Roberto Bolano,EN,literary,EN-B,OUI,,racine
_OceanofPDF.com_The_Portrait_of_a_Lady_-_Roger_Luckhurst_Henry_James.epub,The Portrait of a Lady,Roger Luckhurst Henry James,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_Henderson_the_Rain_King_-_Saul_Bellow.epub,Henderson the Rain King,Saul Bellow,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_Herzog_-_Saul_Bellow.epub,Herzog,Saul Bellow,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_The_Adventures_of_Augie_March_-_Saul_Bellow.epub,The Adventures of Augie March,Saul Bellow,EN,literary,EN-B,OUI,,nouverau livre EN
Main_Street_-_Sinclair_Lewis.pdf,Main Street,Sinclair Lewis,EN,literary,EN-B,OUI,,racine
_OceanofPDF.com_Babbit_-_Sinclair_Lewis.epub,Babbit,Sinclair Lewis,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_Main_Street_-_Sinclair_Lewis.epub,Main Street,Sinclair Lewis,EN,literary,EN-B,OUI,,nouverau livre EN
An_American_Tragedy_-_Theodore_Dreiser.pdf,An American Tragedy,Theodore Dreiser,EN,literary,EN-B,OUI,,racine
Sister_Carrie_BnN_-_Theodore_Dreiser.pdf,Sister Carrie BnN,Theodore Dreiser,EN,literary,EN-B,OUI,,racine
_OceanofPDF.com_Sister_Carrie_BnN_-_Theodore_Dreiser.epub,Sister Carrie BnN,Theodore Dreiser,EN,literary,EN-B,OUI,,nouverau livre EN
V_-_Thomas_Pynchon.pdf,V,Thomas Pynchon,EN,literary,EN-B,OUI,,racine
_OceanofPDF.com_Gravitys_Rainbow_-_Thomas_Pynchon.epub,Gravitys Rainbow,Thomas Pynchon,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_Mason_n_Dixon_-_Thomas_Pynchon.epub,Mason n Dixon,Thomas Pynchon,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_The_Crying_of_Lot_49_-_Thomas_Pynchon.epub,The Crying of Lot 49,Thomas Pynchon,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_OF_TIME_AND_THE_RIVER_-_Thomas_Wolfe.epub,OF TIME AND THE RIVER,Thomas Wolfe,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_In_the_Garden_of_the_North_American_Martyr_-_Tobias_Wolff.epub,In the Garden of the North American Martyr,Tobias Wolff,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_This_Boys_Life_-_Tobias_Wolff.epub,This Boys Life,Tobias Wolff,EN,literary,EN-B,OUI,,nouverau livre EN
Song_of_Solomon_-_Toni_Morrison.pdf,Song of Solomon,Toni Morrison,EN,literary,EN-B,OUI,,racine
_OceanofPDF.com_Jazz_-_Toni_Morrison.epub,Jazz,Toni Morrison,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_Song_of_Solomon_-_Toni_Morrison.epub,Song of Solomon,Toni Morrison,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_Sula_-_Toni_Morrison.epub,Sula,Toni Morrison,EN,literary,EN-B,OUI,,nouverau livre EN
Lolita__Vladimir_Nabokov.pdf,Lolita Vladimir Nabokov,UNKNOWN,EN,literary,EN-B,OUI,,racine
A_Haunted_House_-_Virginia_Woolf.pdf,A Haunted House,Virginia Woolf,EN,literary,EN-B,OUI,,racine
Mrs_Dalloway_-_Virginia_Woolf.pdf,Mrs Dalloway,Virginia Woolf,EN,literary,EN-B,OUI,,racine
Orlando_-_Virginia_Woolf.pdf,Orlando,Virginia Woolf,EN,literary,EN-B,OUI,,racine
The_Waves_-_Virginia_Woolf.pdf,The Waves,Virginia Woolf,EN,literary,EN-B,OUI,,racine
_OceanofPDF.com_Mrs_Dalloway_in_Bond_Street_-_Virginia_Woolf.epub,Mrs Dalloway in Bond Street,Virginia Woolf,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_Orlando_-_Virginia_Woolf.epub,Orlando,Virginia Woolf,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_To_the_lighthouse_-_Virginia_Woolf.epub,To the lighthouse,Virginia Woolf,EN,literary,EN-B,OUI,,nouverau livre EN
Bend_Sinister_-_Vladimir_Nabokov.pdf,Bend Sinister,Vladimir Nabokov,EN,literary,EN-B,OUI,,racine
Pale_Fire_-_Vladimir_Nabokov.pdf,Pale Fire,Vladimir Nabokov,EN,literary,EN-B,OUI,,racine
Campo_Santo_-_WG_Sebald.pdf,Campo Santo,WG Sebald,EN,literary,EN-B,OUI,,racine
The_Rings_of_Saturn_-_WG_Sebald.pdf,The Rings of Saturn,WG Sebald,EN,literary,EN-B,OUI,,racine
Vertigo_-_WG_Sebald.pdf,Vertigo,WG Sebald,EN,literary,EN-B,OUI,,racine
_OceanofPDF.com_Death_Comes_for_the_Archbishop_-_Willa_Cather.epub,Death Comes for the Archbishop,Willa Cather,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_My_Antonia_-_Willa_Cather.epub,My Antonia,Willa Cather,EN,literary,EN-B,OUI,,nouverau livre EN
As_I_Lay_Dying_-_William_Faulkner.pdf,As I Lay Dying,William Faulkner,EN,literary,EN-B,OUI,,racine
_OceanofPDF.com_Absalom_Absalom_-_William_Faulkner.epub,Absalom Absalom,William Faulkner,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_As_I_Lay_Dying_-_William_Faulkner.epub,As I Lay Dying,William Faulkner,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_Light_in_August_-_William_Faulkner.epub,Light in August,William Faulkner,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_The_Sound_and_the_Fury_-_William_Faulkner.epub,The Sound and the Fury,William Faulkner,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_Naked_Lunch_-_William_S_Burroughs.epub,Naked Lunch,William S Burroughs,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_Sophies_Choice_-_William_Styron.epub,Sophies Choice,William Styron,EN,literary,EN-B,OUI,,nouverau livre EN
_OceanofPDF.com_Barchester_Towers_-_Anthony_Trollope.pdf,Barchester Towers,Anthony Trollope,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Way_We_Live_Now_-_Anthony_Trollope.epub,The Way We Live Now,Anthony Trollope,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Rendevous_With_Rama_-_Arthur_C_Clarke.epub,Rendevous With Rama,Arthur C Clarke,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Atlas_Shrugged_-_Ayn_Rand.epub,Atlas Shrugged,Ayn Rand,EN,upmarket,EN-C,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_The_Fountainhead_-_Ayn_Rand.epub,The Fountainhead,Ayn Rand,EN,upmarket,EN-C,OUI,,livre anglais en plus 2 eme salve
Americanah_-_Chimamanda_Ngozi_Adichie.epub,Americanah,Chimamanda Ngozi Adichie,EN,upmarket,EN-C,OUI,,racine
_OceanofPDF.com_Purple_Hibiscus_-_Chimamanda_Ngozi_Adichie.epub,Purple Hibiscus,Chimamanda Ngozi Adichie,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Half_of_a_yellow_sun_-_Chimamnda_adichie.epub,Half of a yellow sun,Chimamnda adichie,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_A_Passage_to_India_-_E_M_Forster.epub,A Passage to India,E M Forster,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_A_Room_with_a_View_-_E_M_Forster.epub,A Room with a View,E M Forster,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Howards_End_-_EM_Forster.epub,Howards End,EM Forster,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_old_man_and_the_sea_-_Earnest_Hemingway.pdf,The old man and the sea,Earnest Hemingway,EN,classic,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Fall_of_the_House_of_Usher_-_Edgar_Allan_Poe.epub,The Fall of the House of Usher,Edgar Allan Poe,EN,upmarket,EN-C,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_The_Narrative_of_Arthur_Gordon_Pym_of_Nant_-_Edgar_Allan_Poe.epub,The Narrative of Arthur Gordon Pym of Nant,Edgar Allan Poe,EN,upmarket,EN-C,OUI,,livre anglais en plus 2 eme salve
Dead_Men_Tell_No_Tales_and_Other_Stories_-_Emile_Zola.pdf,Dead Men Tell No Tales and Other Stories,Emile Zola,EN,upmarket,EN-C,OUI,,racine
Drunkard_-_Emile_Zola.pdf,Drunkard,Emile Zola,EN,upmarket,EN-C,OUI,,racine
The_Attack_on_the_Mill_and_Other_Stories_-_Emile_Zola.pdf,The Attack on the Mill and Other Stories,Emile Zola,EN,upmarket,EN-C,OUI,,racine
The_Beast_Within_-_Emile_Zola.epub,The Beast Within,Emile Zola,EN,upmarket,EN-C,OUI,,racine
The_Joy_of_Life_-_Emile_Zola.pdf,The Joy of Life,Emile Zola,EN,upmarket,EN-C,OUI,,racine
Truth_-_Emile_Zola.epub,Truth,Emile Zola,EN,upmarket,EN-C,OUI,,racine
The_kill_-_Emile_zola.pdf,The kill,Emile zola,EN,upmarket,EN-C,OUI,,racine
_OceanofPDF.com_Wuthering_Heights_-_Emily_Bronte.epub,Wuthering Heights,Emily Bronte,EN,upmarket,EN-C,OUI,,nouverau livre EN
Men_Without_Women_-_Ernest_Hemingway.pdf,Men Without Women,Ernest Hemingway,EN,upmarket,EN-C,OUI,,racine
The_Garden_of_Eden_-_Ernest_Hemingway.pdf,The Garden of Eden,Ernest Hemingway,EN,upmarket,EN-C,OUI,,racine
The_Sun_Also_Rises_-_Ernest_Hemingway.pdf,The Sun Also Rises,Ernest Hemingway,EN,upmarket,EN-C,OUI,,racine
_OceanofPDF.com_A_Farewell_to_Arms_-_Ernest_Hemingway.epub,A Farewell to Arms,Ernest Hemingway,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_For_Whom_the_Bell_Tolls_-_Ernest_Hemingway.epub,For Whom the Bell Tolls,Ernest Hemingway,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Sun_Also_Rises_-_Ernest_Hemingway.epub,The Sun Also Rises,Ernest Hemingway,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Tender_is_the_Night_-_F_Scott_Fitzgerald.epub,Tender is the Night,F Scott Fitzgerald,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Great_Gatsby_-_Fitzgerald.pdf,The Great Gatsby,Fitzgerald,EN,classic,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Slaughterhouse-Five_-_Kurt_Vonnegut_Jr.epub,Slaughterhouse,Five - Kurt Vonnegut Jr,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Mill_on_the_Floss_-_George_1819-1880_Eliot.epub,The Mill on the Floss,George 1819-1880 Eliot,EN,classic,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Middlemarch_-_George_Eliot.epub,Middlemarch,George Eliot,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Silas_Marner_-_George_Eliot.epub,Silas Marner,George Eliot,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_1984_75th_anniversary_-_George_Orwell.epub,1984 75th anniversary,George Orwell,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Animals_farm_-_George_Orwell.pdf,Animals farm,George Orwell,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Down_and_Out_in_Paris_and_London_-_George_Orwell.epub,Down and Out in Paris and London,George Orwell,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_End_of_the_Affair_-_Graham_Greene.epub,The End of the Affair,Graham Greene,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Power_and_the_Glory_-_Graham_Greene.epub,The Power and the Glory,Graham Greene,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Quiet_American_-_Graham_Greene.epub,The Quiet American,Graham Greene,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Island_of_Dr_Moreau_-_H_G_Wells.epub,The Island of Dr Moreau,H G Wells,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Time_Machine_n_The_Invisible_Man_-_H_G_Wells.epub,The Time Machine n The Invisible Man,H G Wells,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_At_the_Mountains_of_Madness_-_H_P_Lovecraft.epub,At the Mountains of Madness,H P Lovecraft,EN,upmarket,EN-C,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_The_War_of_the_Worlds_-_HG_Wells.epub,The War of the Worlds,HG Wells,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Cthulhu_2000_-_HP_Lovecraft.epub,Cthulhu 2000,HP Lovecraft,EN,upmarket,EN-C,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_To_kill_a_mocking_bird_-_Haper_Lee.epub,To kill a mocking bird,Haper Lee,EN,upmarket,EN-C,OUI,,nouverau livre EN
Norwegian_wood_-_Haruki_Murakami.epub,Norwegian wood,Haruki Murakami,EN,upmarket,EN-C,OUI,,racine
_OceanofPDF.com_Bartleby_the_Scrivener_-_Herman_Melville.epub,Bartleby the Scrivener,Herman Melville,EN,upmarket,EN-C,OUI,,nouverau livre EN
Atonement_-_Ian_McEwan.pdf,Atonement,Ian McEwan,EN,upmarket,EN-C,OUI,,racine
_OceanofPDF.com_Atonement_-_Ian_McEwan.epub,Atonement,Ian McEwan,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_On_Chesil_Beach_-_Ian_McEwan.epub,On Chesil Beach,Ian McEwan,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Foundation_1951_-_Isaac_Asimov.epub,Foundation 1951,Isaac Asimov,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Franny_and_Zooey_-_JD_Salinger.epub,Franny and Zooey,JD Salinger,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Catcher_in_the_Rye_-_JD_Salinger.epub,The Catcher in the Rye,JD Salinger,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_On_the_Road_-_Jack_Kerouac.epub,On the Road,Jack Kerouac,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Martin_Eden_-_Jack_London.epub,Martin Eden,Jack London,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Chesapeake_-_James_A_Michener.epub,Chesapeake,James A Michener,EN,upmarket,EN-C,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_Hawaii_-_James_A_Michener.epub,Hawaii,James A Michener,EN,upmarket,EN-C,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_Another_Country_-_James_Baldwin.epub,Another Country,James Baldwin,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Go_Tell_It_on_the_Mountain_-_James_Baldwin.epub,Go Tell It on the Mountain,James Baldwin,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Middlesex_-_Jeffrey_Eugenides.epub,Middlesex,Jeffrey Eugenides,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Virgin_Suicides_-_Jeffrey_Eugenides.epub,The Virgin Suicides,Jeffrey Eugenides,EN,upmarket,EN-C,OUI,,nouverau livre EN
Burning_Bright_-_John_Steinbeck.pdf,Burning Bright,John Steinbeck,EN,upmarket,EN-C,OUI,,racine
Sweet_Thursday_-_John_Steinbeck.pdf,Sweet Thursday,John Steinbeck,EN,upmarket,EN-C,OUI,,racine
To_a_God_Unknown_-_John_Steinbeck.pdf,To a God Unknown,John Steinbeck,EN,upmarket,EN-C,OUI,,racine
_OceanofPDF.com_East_of_Eden_-_John_Steinbeck.epub,East of Eden,John Steinbeck,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Of_mice_and_men_-_John_Steinbeck.epub,Of mice and men,John Steinbeck,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Grapes_of_Wrath_-_John_Steinbeck.epub,The Grapes of Wrath,John Steinbeck,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Rabbit_Redux_-_John_Updike.epub,Rabbit Redux,John Updike,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Coup_-_John_Updike.epub,The Coup,John Updike,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Freedom_-_Jonathan_Franzen.epub,Freedom,Jonathan Franzen,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Never_Let_Me_Go_-_Kazuo_Ishiguro.epub,Never Let Me Go,Kazuo Ishiguro,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Breakfast_of_champions_-_Kurt_Vonnegt.pdf,Breakfast of champions,Kurt Vonnegt,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Cats_cradle_-_Kurt_Vonnegut.epub,Cats cradle,Kurt Vonnegut,EN,upmarket,EN-C,OUI,,nouverau livre EN
We_Need_to_Talk_About_Kevin_-_Lionel_Shriver.pdf,We Need to Talk About Kevin,Lionel Shriver,EN,upmarket,EN-C,OUI,,racine
_OceanofPDF.com_Little_Women_2023_reissue_-_Louisa_May_Alcott.epub,Little Women 2023 reissue,Louisa May Alcott,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Adventures_of_Huckleberry_Finn_Tom_Sawyers_comrade_-_Mark_Twain.pdf,Adventures of Huckleberry Finn Tom Sawyers comrade,Mark Twain,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_A_Connecticut_Yankee_in_King_Arthurs_Cour_-_Mark_Twain.epub,A Connecticut Yankee in King Arthurs Cour,Mark Twain,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Frankenstein_Barnes_n_Noble_Classics_Seri_-_Mary_Wollstonecraft_Shelley.epub,Frankenstein Barnes n Noble Classics Seri,Mary Wollstonecraft Shelley,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Amazing_Adventures_of_Kavalier_n_Clay_-_Michael_Chabon.epub,The Amazing Adventures of Kavalier n Clay,Michael Chabon,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Picture_of_Dorian_Gray_-_Oscar_Wilde.epub,The Picture of Dorian Gray,Oscar Wilde,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Jeeves_in_the_offing_-_PG_Wodehouse.epub,Jeeves in the offing,PG Wodehouse,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Reality_Dysfunction_-_Peter_F_Hamilton.pdf,The Reality Dysfunction,Peter F Hamilton,EN,upmarket,EN-C,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_The_Reality_Dysfunction_Part_2_-_Peter_F_Hamilton.pdf,The Reality Dysfunction Part 2,Peter F Hamilton,EN,upmarket,EN-C,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_Independence_Day_-_Richard_Ford.epub,Independence Day,Richard Ford,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Sportswriter_-_Richard_Ford.epub,The Sportswriter,Richard Ford,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Annotated_Treasure_Island_-_Robert_Louis_Stevenson.pdf,The Annotated Treasure Island,Robert Louis Stevenson,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde_Weir_of_Hermiston_-_Robert_Louis_Stevenson.epub,The Strange Case of Dr Jekyll and Mr Hyde Weir of Hermiston,Robert Louis Stevenson,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Assassins_Apprentice_-_Robin_Hobb.epub,Assassins Apprentice,Robin Hobb,EN,upmarket,EN-C,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_Kim_-_Rudyard_Kipling.epub,Kim,Rudyard Kipling,EN,upmarket,EN-C,OUI,,nouverau livre EN
Fury_-_Salman_Rushdie.pdf,Fury,Salman Rushdie,EN,upmarket,EN-C,OUI,,racine
_OceanofPDF.com_Far_From_the_Madding_Crowd_-_Thomas_Hardy.epub,Far From the Madding Crowd,Thomas Hardy,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Jude_the_Obscure_-_Thomas_Hardy.epub,Jude the Obscure,Thomas Hardy,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_Tess_of_the_Durbervilles_-_Thomas_Hardy.epub,Tess of the Durbervilles,Thomas Hardy,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Jungle_-_Upton_Sinclair.epub,The Jungle,Upton Sinclair,EN,upmarket,EN-C,OUI,,nouverau livre EN
_OceanofPDF.com_The_Left_Hand_of_Darkness_-_Ursula_Le_Guin.epub,The Left Hand of Darkness,Ursula Le Guin,EN,upmarket,EN-C,OUI,,nouverau livre EN
The_Hunchback_of_Notre_Dame_-_Victor_Hugo.epub,The Hunchback of Notre Dame,Victor Hugo,EN,classic,EN-C,OUI,,racine
Toilers_of_the_Sea_by_Victor_Hugo_-_Victor_Hugo.epub,Toilers of the Sea by Victor Hugo,Victor Hugo,EN,classic,EN-C,OUI,,racine
_OceanofPDF.com_Les_cavernes_d_acier_-_isaac_asimov.epub,Les cavernes d acier,isaac asimov,EN,upmarket,EN-C,OUI,,nouverau livre EN
The_stranger_-_Albert_Camus.pdf,The stranger,Albert Camus,EN,fiction-other,EN-UNCLASSIFIED,OUI,,racine
_OceanofPDF.com_Chimera_-_Alice_Thompson.epub,Chimera,Alice Thompson,EN,fiction-other,EN-UNCLASSIFIED,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_The_Collected_Stories_-_Amy_Hempel.epub,The Collected Stories,Amy Hempel,EN,fiction-other,EN-UNCLASSIFIED,OUI,,nouverau livre EN
Recall_-_Andy_Holmes.epub,Recall,Andy Holmes,EN,fiction-other,EN-UNCLASSIFIED,OUI,,racine
_OceanofPDF.com_Variations_on_a_Dream_-_Angelique_Lalonde.epub,Variations on a Dream,Angelique Lalonde,EN,fiction-other,EN-UNCLASSIFIED,OUI,,livre anglais en plus 2 eme salve
Falling_to_pieces_-_Annette_Lyon.epub,Falling to pieces,Annette Lyon,EN,fiction-other,EN-UNCLASSIFIED,OUI,,racine
_OceanofPDF.com_Winter_Animals_-_Ashani_lewis.epub,Winter Animals,Ashani lewis,EN,fiction-other,EN-UNCLASSIFIED,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_Mother_Earth_-_Asimov_Isaac.epub,Mother Earth,Asimov Isaac,EN,fiction-other,EN-UNCLASSIFIED,OUI,,nouverau livre EN
_OceanofPDF.com_The_best_place_on_earth_-_Ayelet_tsabari.epub,The best place on earth,Ayelet tsabari,EN,fiction-other,EN-UNCLASSIFIED,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_A_Mask_the_Color_of_the_Sky_-_Bassem_Khandaqji.epub,A Mask the Color of the Sky,Bassem Khandaqji,EN,fiction-other,EN-UNCLASSIFIED,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_Celestial_Lights_-_Cecile_Pin.epub,Celestial Lights,Cecile Pin,EN,fiction-other,EN-UNCLASSIFIED,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_Virus_-_Cook_Robin.epub,Virus,Cook Robin,EN,fiction-other,EN-UNCLASSIFIED,OUI,,nouverau livre EN
_OceanofPDF.com_Vent_mortel_-_Cussler_Clive.epub,Vent mortel,Cussler Clive,EN,fiction-other,EN-UNCLASSIFIED,OUI,,nouverau livre EN
_OceanofPDF.com_Women_in_love_-_D_H_Laurence.epub,Women in love,D H Laurence,EN,fiction-other,EN-UNCLASSIFIED,OUI,,nouverau livre EN
_OceanofPDF.com_TRIESTE_-_Dasa_Drndie.epub,TRIESTE,Dasa Drndie,EN,fiction-other,EN-UNCLASSIFIED,OUI,,livre anglais en plus 2 eme salve
_OceanofPDF.com_The_Emerald_Light_in_the_Air_-_Donald_Antrim.epub,The Emerald Light in the Air,Donald Antrim,EN,fiction-other,EN-UNCLASSIFIED,OUI,,livre anglais en plus 2 eme salve
The_Kingdom_-_Emmanuel_Carrere.pdf,The Kingdom,Emmanuel Carrere,EN,fiction-other,EN-UNCLASSIFIED,OUI,,racine
_OceanofPDF.com_Lucien_-_JR_Thornton.epub,Lucien,JR Thornton,EN,fiction-other,EN-UNCLASSIFIED,OUI,,livre anglais en plus 2 eme salve
Saviors_Army_-_Jenna_Moreci.epub,Saviors Army,Jenna Moreci,EN,fiction-other,EN-UNCLASSIFIED,OUI,,racine
_OceanofPDF.com_Nothing_natural_-_Jenny_diski.pdf,Nothing natural,Jenny diski,EN,fiction-other,EN-UNCLASSIFIED,OUI,,livre anglais en plus 2 eme salve
